2773,5869,3704,6411,2016,492,1929,6121,5609,1868,3434,6402
U16954_at,J00219_s_at,U79262_at,U09087_s_at,M60165_cds1_at,D78012_at,M36067_at,M14483_rna1_s_at,U50822_rna1_s_at,M31303_rna1_at,U61145_at,X73358_s_at
931,83,179,75,59,688,71,1425,216,724,133,479
845,74,192,59,125,647,108,959,719,579,86,433
1107,76,215,62,116,558,106,1175,993,608,140,799
1187,80,187,88,81,750,117,1180,785,619,164,588
969,73,263,65,74,507,154,1186,492,676,320,939
1172,68,233,84,140,599,116,1283,374,651,156,790
1010,87,252,67,120,438,140,1208,205,751,139,658
588,95,173,105,103,683,55,1644,221,243,181,458
928,91,200,66,212,1126,76,2175,381,927,223,1021
469,85,154,64,78,611,102,1635,97,927,277,496
579,85,170,35,122,201,48,2011,193,606,73,537
1237,92,299,61,132,572,122,2307,873,871,280,1132
812,81,298,55,216,531,81,2419,127,1066,280,715
649,62,261,68,184,172,87,2849,470,568,143,1283
70,71,131,83,70,138,71,1473,20,466,93,305
1032,86,215,90,123,792,89,2569,509,746,166,616
880,64,142,87,75,420,70,1006,350,472,52,334
984,66,171,69,105,520,113,1260,702,581,80,574
1159,71,185,104,111,140,77,1475,418,604,119,1046
1108,73,178,60,229,1289,88,2957,1067,908,147,870
740,81,222,113,116,511,101,1570,254,699,140,796
1443,83,315,109,171,1068,114,3406,734,964,338,1047
808,94,120,109,149,797,126,923,741,732,135,422
945,83,101,121,123,525,42,577,360,830,249,458
861,74,152,66,135,524,100,984,1818,1093,383,357
981,79,259,28,188,592,106,1138,124,515,97,825
378,86,186,31,107,196,89,3528,376,634,111,488
626,60,219,70,42,276,89,1344,42,534,74,512
1102,72,196,64,112,561,57,1434,657,830,283,918
387,91,111,52,55,393,56,757,121,467,57,245
682,43,147,74,169,543,64,875,86,1106,190,407
747,74,137,42,115,338,84,1059,73,842,180,541
407,48,189,47,49,80,51,1094,102,573,91,373
699,78,148,39,98,229,50,1057,20,576,68,620
874,60,204,39,89,335,44,927,99,696,65,465
872,47,208,72,68,616,60,1484,559,791,118,537
848,80,185,138,81,404,127,1194,20,631,141,648
1069,104,171,38,205,706,49,1009,379,819,90,662
786,72,200,63,54,356,85,1343,118,751,113,1030
337,89,125,20,91,296,35,238,20,183,43,235
276,72,103,28,68,182,42,349,20,250,50,245
169,72,91,20,79,166,20,206,20,225,46,209
309,69,146,23,73,141,60,384,20,265,49,401
486,66,138,20,122,366,20,124,20,167,22,192
177,80,125,20,71,197,21,160,20,93,21,154
222,60,85,20,79,150,39,145,20,267,20,128
607,44,64,23,56,316,59,858,20,452,65,229
108,53,102,20,33,62,34,818,20,275,50,215
211,61,109,21,54,67,73,898,20,395,68,370
455,27,132,21,52,338,116,1392,20,508,59,514
261,44,110,51,35,98,61,979,20,515,63,390
54,37,75,20,32,33,93,1120,20,404,77,295
71,43,56,20,46,73,32,891,20,187,55,299
75,36,71,20,39,103,35,756,20,263,47,170
46,54,92,20,45,67,100,887,20,226,35,261
114,52,76,22,33,110,59,673,20,288,74,157
191,64,114,55,37,117,91,886,20,428,80,252
434,56,129,92,45,184,130,1130,20,608,149,211
155,38,87,20,49,121,58,650,20,381,62,69
176,39,63,20,41,34,54,550,20,193,52,174
323,59,112,28,60,222,63,737,25,329,71,228
49,70,130,20,36,121,44,346,20,226,23,369
320,45,95,23,40,158,65,745,20,287,62,239
335,47,87,20,65,189,20,494,20,301,22,389
352,46,89,20,56,190,20,604,20,343,22,311
329,53,74,20,72,160,23,566,20,277,28,267
313,34,66,20,69,230,20,671,20,256,30,324
287,42,80,20,72,231,23,531,38,271,23,357
269,52,78,20,55,146,20,631,20,228,20,329
